0	im not a fan of women football commentators	im not a fan of people	a	b	PROPN PART DET NOUN ADP NOUN NOUN NOUN	ROOT neg det appos prep compound compound pobj
2	abc ##de ##f ##g means a boy can do everything for a girl	abc ##de ##f ##g means a person can do everything for anyone	a	b	PROPN PROPN PROPN PROPN VERB DET NOUN VERB AUX PRON ADP DET NOUN	nsubj nsubj nsubj nsubj ROOT det nsubj aux ccomp dobj prep det pobj
3	i don ##t think girls should have an opinion on football most of ya ##ll don ##t know shit s o to the ones that do tho	i don ##t think people should have an opinion on football	a	b	PRON VERB VERB VERB NOUN VERB AUX DET NOUN ADP NOUN ADJ ADP PROPN PROPN PROPN PROPN VERB PROPN PROPN NOUN ADP DET NOUN DET AUX NOUN	nsubj nsubj nsubj ROOT nsubj aux ccomp det dobj prep pobj nsubj prep amod amod pobj pobj ROOT compound ROOT ROOT prep det pobj nsubj relcl dobj
4	i think boys should always always make the first move always	i think anyone can make the first move	a	b	PRON VERB NOUN VERB ADV ADV VERB DET ADJ NOUN ADV	nsubj ROOT nsubj aux advmod advmod ccomp det amod dobj advmod
5	weakness is a woman issue	weakness is not a woman	a	b	NOUN AUX DET NOUN NOUN	nsubj ROOT det compound attr
6	a man is supposed to take the trash out clean cars mo ##w the yard fix things around the ho	a person is supposed to take the trash out clean cars mo ##w the yard fix things around the ho	a	b	DET NOUN AUX VERB PART VERB DET NOUN ADP ADJ NOUN VERB VERB DET NOUN NOUN NOUN ADP DET PROPN	det nsubjpass auxpass ROOT aux xcomp det dobj prt amod dobj conj conj det nsubj ccomp dobj prep det pobj
7	what is one thing i care less about than soccer women s soccer	what is one thing i care less about than soccer	a	b	PRON AUX NUM NOUN PRON VERB ADV ADP SCONJ NOUN NOUN PART NOUN	attr ROOT nummod nsubj nsubj relcl advmod prep prep compound poss case pobj
8	she must be here to make the sandwiches	they don ##t be here to make the sandwiches	a	b	PRON VERB AUX ADV PART VERB DET NOUN	nsubj aux ROOT advmod aux advcl det dobj
9	men are much better than women like sr ##sl ##y	men and women are as good as sr ##sl	a	b	NOUN AUX ADV ADJ SCONJ NOUN SCONJ ADV ADV ADV	nsubj ROOT advmod acomp prep pobj prep pcomp pcomp pcomp
10	in my little world it has always seemed that di ##y was best left to women ever done di ##y with a b ##lok ##e fuck ##in nightmare	in my little world it has always seemed that di ##y was best left to people	a	b	ADP DET ADJ NOUN PRON AUX ADV VERB SCONJ PROPN PROPN AUX ADV VERB ADP NOUN ADV VERB NOUN NOUN ADP DET NOUN NOUN NOUN NOUN NOUN NOUN	prep poss amod pobj nsubj aux advmod ROOT mark nsubjpass nsubjpass auxpass advmod ccomp prep pobj advmod dep dobj dobj prep det compound compound compound compound compound pobj
11	you are too emotional	you are not too emotional	a	b	PRON AUX ADV ADJ	nsubj ROOT advmod acomp
13	i don t care how hard you think you are if you can ##t act like a man no one will respect you	t care how hard you think you are if you can ##t act assert ##ively no one will respect you	a	b	PRON VERB PROPN VERB ADV ADV PRON VERB PRON AUX SCONJ PRON ADJ ADJ VERB SCONJ DET NOUN DET NOUN VERB VERB PRON	nsubj compound nsubj ROOT advmod advmod nsubj ccomp nsubj ccomp mark nsubj advcl advcl dobj prep det pobj det nsubj aux relcl dobj
14	guys opening the car door for a girl is better than any pick up line	people people people the car door for someone else is better than any pick up line	a	b	NOUN VERB DET NOUN NOUN ADP DET NOUN AUX ADJ SCONJ DET NOUN ADP NOUN	nsubj acl det compound dobj prep det pobj ROOT acomp prep det amod prt pobj
15	rt im not sex ##ist but seriously if your ##e female you need to be able to cook its in your dna	seriously if you should but seriously if you person you need to be able to cook	a	b	PROPN PROPN PART ADJ ADJ CCONJ ADV SCONJ NOUN NOUN ADJ PRON VERB PART AUX ADJ PART VERB DET ADP DET NOUN	compound nsubj neg ROOT ROOT cc advmod mark nsubj nsubj advcl nsubj conj aux xcomp acomp aux xcomp dobj prep poss pobj
16	when i play sims 3 i put my wife ##s bed in the kitchen d l ##ma ##o	when i play sims 3 i put my spouse bed in the kitchen	a	b	ADV PRON VERB VERB NUM PRON VERB DET NOUN NOUN NOUN ADP DET NOUN PROPN PROPN PROPN PROPN	advmod nsubj ROOT dobj nummod nsubj ROOT poss amod amod dobj prep det compound compound pobj pobj pobj
