0	all my sons have grown up with computer games but im not interested i see them as a male thing	place ##holder	a	b	DET DET NOUN AUX VERB ADP ADP NOUN NOUN CCONJ PROPN PART ADJ PRON VERB PRON SCONJ DET ADJ NOUN	predet poss nsubj aux ROOT prt prep compound pobj cc nsubj neg ROOT nsubj ROOT dobj prep det amod pobj
2	mmm ##m good luck let us know how you go still think u should enter mk ##r more cooking less bitch ##ing mmm ##m	place ##holder	a	b	PROPN PROPN PROPN NOUN VERB PRON VERB ADV PRON VERB ADV VERB PRON VERB VERB PROPN PROPN ADJ VERB ADV NOUN NOUN NOUN NOUN	nmod nmod amod nsubj ROOT nsubj ccomp advmod nsubj ccomp advmod ROOT nsubj aux ccomp nsubj nsubj advmod advcl amod compound compound dobj dobj
3	i hate having guys for teachers	place ##holder	a	b	PRON VERB VERB NOUN ADP NOUN	nsubj ROOT xcomp dobj prep pobj
4	a female can ##t tell me nothing bout sports sorry i grew up in a sports crazed house	place ##holder	a	b	DET ADJ NOUN NOUN VERB PRON PRON NOUN NOUN INTJ PRON VERB ADP ADP DET NOUN VERB NOUN	det amod nsubj nsubj ROOT dative dobj compound ROOT ROOT nsubj ccomp prt prep det compound compound pobj
6	rt im not sex ##ist but the men ##s skill sets and abilities are just leagues above the women ##s much more entertaining olympics	place ##holder	a	b	PROPN PROPN PART ADJ ADJ CCONJ DET PROPN PROPN PROPN NOUN CCONJ NOUN AUX ADV NOUN ADP DET NOUN NOUN ADV ADV ADJ NOUN	compound nsubj neg ROOT ROOT cc det compound compound compound nsubj cc conj ROOT advmod attr prep det nummod nummod advmod advmod amod pobj
8	if a women don ##t know how to cook and take care of house she ain ##t a real women	place ##holder	a	b	SCONJ DET NOUN NOUN NOUN VERB ADV PART VERB CCONJ VERB NOUN ADP NOUN PRON VERB VERB DET ADJ NOUN	mark det compound nsubj nsubj advcl advmod aux xcomp cc conj dobj prep pobj nsubj ROOT ROOT det amod dobj
10	soccer is 1 of two sports tennis where the women ##s version is not painful to watch due to inferior athletes im right	place ##holder	a	b	NOUN AUX NUM ADP NUM NOUN NOUN ADV DET PROPN PROPN NOUN AUX PART ADJ PART VERB ADP ADP ADJ NOUN INTJ ADJ	nsubj ROOT attr prep nummod compound pobj advmod det compound compound nsubj relcl neg acomp aux xcomp prep pcomp amod pobj dobj advmod
11	ever consider they ##re not for you and no one cares im not sex ##ist but nothing bore ##s me more than feminist novels	place ##holder	a	b	ADV VERB PROPN PROPN PART ADP PRON CCONJ DET NOUN VERB VERB PART ADJ ADJ CCONJ PRON VERB VERB PRON ADV SCONJ ADJ NOUN	advmod ROOT nsubj nsubj neg ccomp pobj cc det nsubj conj dobj neg acomp acomp cc nsubj conj conj dobj advmod prep amod pobj
13	she s so beautiful she s so precious he said and i thought welcome to being a woman everyday ##se ##xi ##sm	place ##holder	a	b	PRON VERB ADV ADJ PRON VERB ADV ADJ PRON VERB CCONJ PRON VERB ADV ADP AUX DET NOUN NOUN NOUN NOUN NOUN	nsubj ROOT advmod acomp nsubj ROOT advmod acomp nsubj ROOT cc nsubj ROOT dobj prep pcomp det compound attr attr attr attr
16	i think all women should be in the 49 ##k ##g weight division sports or not	place ##holder	a	b	PRON VERB DET NOUN VERB AUX ADP DET ADJ ADJ ADJ NOUN NOUN NOUN CCONJ PART	nsubj ROOT det nsubj aux ccomp prep det amod amod amod compound compound pobj cc conj
21	in ali ##ght ##ing from an automobile the most desirable procedure when possible is for he man to walk around in front of the car and hold the door open for the lady	place ##holder	a	b	ADP VERB VERB VERB ADP DET NOUN DET ADV ADJ NOUN ADV ADJ AUX ADP PRON NOUN PART VERB ADV ADP NOUN ADP DET NOUN CCONJ VERB DET NOUN ADJ ADP DET NOUN	prep pcomp pcomp pcomp prep det pobj det advmod amod dobj advmod acomp ROOT mark nsubj nsubj aux advcl advmod prep pobj prep det pobj cc conj det nsubj ccomp prep det pobj
23	for real asking a woman to move sm ##h na ##w no go l ##ma ##o id ##c id ##c call your male friends	place ##holder	a	b	ADP ADJ VERB DET NOUN PART VERB PROPN PROPN PROPN PROPN INTJ VERB PROPN PROPN PROPN ADJ ADJ PROPN PROPN VERB DET ADJ NOUN	ROOT amod intj det dobj aux xcomp intj intj intj intj det ROOT compound compound compound compound compound nsubj nsubj ROOT poss amod dobj
24	love me like a woman but make love to me like a man morning laughs	place ##holder	a	b	VERB PRON SCONJ DET NOUN CCONJ VERB NOUN ADP PRON SCONJ DET NOUN NOUN NOUN	ROOT dobj prep det pobj cc conj dobj prep pobj prep det compound compound pobj
