id_x,dataset_x,text_x,toxicity_x,sexist_x,id_y,dataset_y,text_y,toxicity_y,sexist_y
5,callme,I just dont trust an adult who uses coupons ,0.11958974,False,13227.0,callme,I just dont trust a man who uses coupons  Sexist DoubleStandard,0.5470521,True
18,scales,No one should be set on a pedestal by their significant other ,0.08134023,False,708.0,scales,A good woman should be set on a pedestal by her man ,0.18588991,True
24,callme,most creative species on earth 1  Women in power show strength 2  Unmarried women are independent thats true,0.10113942,False,3027.0,callme,most dangerous species on earth 1  Women in power 2  Unmarried women  thats true,0.43069574,True
33,callme,RT  iBelieve Sum Chores R 4 adults like taking out the trash  cutting grass  n shoveling snow,0.469564,False,6369.0,callme,RT  iBelieve Sum Chores R 4 Men like taking out the trash  cutting grass  n shoveling snow,0.6079781,True
34,callme,I really hate when there is a kid commentator for grownups bball games,0.39751118,False,3190.0,callme,I really hate when there is a female commentator for mens bball games,0.6079781,True
51,callme,RT   I think a person on a motorcycle is kind of dumb  Especially when they have ape hangers   ,0.8716554,False,6673.0,callme,RT   I think a woman on a motorcycle is kind of dumb  Especially when she has ape hangers   ,0.858109,True
54,hostile,Kat   Andre cartoon characters Kat develop sportsmanship   Andre grow some muscles   take it like a boss  MKR cantcook ,0.034507696,False,7361.0,hostile,Kat   Andre cartoon characters Kat develop sportsmanship   Andre grow some balls   take it like a man  MKR cantcook ,0.09793362,True
56,hostile,RT  Im not a jerk or anything but I do not take rappers seriously I would never buy a Nicky M album or something ,0.76644164,False,818.0,hostile,RT  Im not sexist or anything but I do not take female rappers seriously I would never buy a Nicky M album or something ,0.5877534,True
71,callme,RT  I cannot listen to this rookie commentate the OSU Buffalo game ,0.37080872,False,6174.0,callme,RT  I cannot listen to this woman commentate the OSU Buffalo game ,0.49855745,True
72,callme,I want my grownup to stay home and raise my kids in the future,0.14497449,False,5301.0,callme,I want my wife to stay home and raise my kids in the future,0.19352604,True
96,callme,when adults watch towie its acceptable  however  when elders watch it  na that aint right,0.070720896,False,3050.0,callme,when girls watch towie its acceptable  however  when boys watch it    na that aint right,0.15718748,True
106,callme,I hate this    nomancard RT   My teammates boyfriend wants to take her last name  Her last name    Equality,0.76535493,False,1948.0,callme,I hate this    nomancard RT   My teammates boyfriend wants to take her last name  Her  last name    Feminism,0.77115554,True
111,hostile,RT  Im not ageist  but When it comes to learning i prefer a young person    All my fave teachers were young,0.20081721,False,3310.0,hostile,RT  Im not sexist  but When it comes to learning i prefer a male    All my fave teachers were male ,0.4409173,True
117,hostile,I bet if I had one month of training I could do all these snowboard tricks the pros are doing and Ive never boarded,0.1071173,False,10447.0,hostile,Im not sexist but I bet if I had one month of training I could do all these snowboard tricks the girls are doing and Ive never boarded,0.2771513,True
124,callme,  Eminem was so abused  beaten up in school  Newer rappers less likely to have that much bad shit,0.87366694,False,2236.0,callme,  Eminem was so abused  beaten up in school  female rappers less likely to have that much bad shit,0.86859256,True
125,scales,Minorities requests in terms of equality between the races are simply exaggerated ,0.32581303,False,11204.0,scales,Womens requests in terms of equality between the sexes are simply exaggerated ,0.3212283,True
128,callme,what kinda crazy person buys they mailman flowers for their bday,0.3738426,False,10281.0,callme,what kinda crazy bitch buys they mans flowers for his bday,0.93332404,True
130,hostile,Cat get onto the keyboard again   Im not sexist and I  believe in equality ,0.19387898,False,9641.0,hostile,Cat get onto the keyboard again   Im not sexist but I dont believe in equality ,0.19194482,True
142,benevolent,Its hard to find a good partner nowadays  Though when you do  its impossible to find a lover as good     ,0.16273049,False,3055.0,benevolent,Its hard to find a good woman nowadays  Though when you do  its impossible to find a man as good     ,0.22365987,True
143,benevolent,Ill pass on  ADayWithoutWomen  People dont abandon their responsibilities   VotersForTrump    MAGA   ,0.09337353,False,4859.0,benevolent,Ill pass on  ADayWithoutWomen   Real women dont abandon their responsibilities     WomenForTrump       MAGA     ,0.23452139,True
146,callme, wakes up  Uncle  A black became the boss of this store I go to  I did NOT sign up for this Me  YOU ARE RACIST  sleeps ,0.83785176,False,8855.0,callme, wakes up  Uncle  A woman became the boss of this store I go to  I did NOT sign up for this Me  YOU ARE SEXIST  sleeps ,0.62920886,True
150,hostile,Some ppl call me elitist cuz I want my servants to work  I want them to stay home and clean  raise out children  and relax afterward ,0.46589994,False,11893.0,hostile,Some ppl call me sexist cuz I dont want my wife to ever work  I want her to stay home and clean  raise out children  and relax afterward ,0.44169804,True
153,callme,RT   high schoolers do not belong on pinterest s2s,0.3588084,False,12444.0,callme,RT   boys do not belong on pinterest s2s,0.5059838,True
155,callme,RT  the iPhone just doesnt look like a good phone to me   fb,0.20613235,False,8543.0,callme,RT  the iPhone just doesnt look like a mans phone to me   fb,0.3852706,True
162,callme, I have only ever seen female OBGYNs I don t feel comfortable with the men  Period ,0.3115317,True,4659.0,callme, I have only ever seen female OBGYNs I don t trust the men  Period ,0.40325972,True
164,callme,teenagers always want equality BUT LORD HELP YOU KIDS WHEN YOU CANT PICK UP SOMETHING HEAVY THEN YOU WANT ADULTS TO DO UR WORK,0.18308525,False,10675.0,callme,girls always want equality BUT LORD HELP YOU LADIES WHEN YOU CANT PICK UP SOMETHING HEAVY THEN YOU WANT MEN TO DO UR WORK,0.43715125,True
170,hostile,Actually I hate people who talk about any sport when they cant name over 50 players playing that sport    justtrue,0.72206306,False,1474.0,hostile,Actually I hate people who talk about any sport when they cant name over 50 players playing that sport   mostlywomen notsexist justtrue,0.7637252,True
174,benevolent,Youve got a strong grip   counterculture spokenword performancepoetry writer  songwriter,0.072471544,False,1217.0,benevolent,Youve got a strong grip for a girl   counterculture spokenword performancepoetry writer  songwriter,0.081201375,True
176,callme, I will only see qualified hoo hah doctors  if I wanna describe a pain Im having I want them able to relate ,0.2522934,False,5152.0,callme, I will only see female hoo hah doctors  if I wanna describe a pain Im having I want them able to relate ,0.36377686,True
179,callme,I honestly believe adults should have more respect for their spouses than spouses for their adults,0.07124265,False,619.0,callme,I honestly believe ladies should have more respect for their husbands than husbands for their wives,0.32162133,True
183,benevolent,random kid at dollar general  youre working on 6 ft tall person you know that  what no actually I didnt dang thats tall for a kid wow,0.22107005,False,6752.0,benevolent,random guy at dollar general  youre working on 6 ft tall maam you know that  what no actually I didnt dang thats tall for a girl wow,0.24374565,True
190,scales,Many grownups are actually seeking special favors  such as hiring policies that favor them over elders  under the guise of asking for  equality  ,0.32240853,False,11233.0,scales,Many women are actually seeking special favors  such as hiring policies that favor them over men  under the guise of asking for  equality  ,0.23565948,True
