id_x,dataset_x,text_x,toxicity_x,sexist_x,id_y,dataset_y,text_y,toxicity_y,sexist_y,cleaned text_x,cleaned text_y
5,callme,I just dont trust an adult who uses coupons,0.11959,FALSE,13227,callme,I just dont trust a man who uses coupons Sexist DoubleStandard,0.547052,TRUE,I just dont trust an adult who uses coupons,I just dont trust a man who uses coupons 
18,scales,No one should be set on a pedestal by their significant other,0.08134,FALSE,708,scales,A good woman should be set on a pedestal by her man,0.18589,TRUE,No one should be set on a pedestal by their significant other,A good woman should be set on a pedestal by her man
24,callme,most creative species on earth 1 Women in power show strength 2 Unmarried women are independent thats true,0.101139,FALSE,3027,callme,most dangerous species on earth 1 Women in power 2 Unmarried women thats true,0.430696,TRUE,most creative species on earth are people in power and bachelors ,most dangerous species on earth are Women in power and Unmarried women 
33,callme,RT iBelieve Sum Chores R 4 adults like taking out the trash cutting grass n shoveling snow,0.469564,FALSE,6369,callme,RT iBelieve Sum Chores R 4 Men like taking out the trash cutting grass n shoveling snow,0.607978,TRUE,"I Believe Some Chores are for everyone like taking out the trash, cutting grass and shoveling snow","I Believe Some Chores are for Men like taking out the trash, cutting grass and shoveling snow"
34,callme,I really hate when there is a kid commentator for grownups bball games,0.397511,FALSE,3190,callme,I really hate when there is a female commentator for mens bball games,0.607978,TRUE,I don't mind when there is a female commentator for mens basketball games,I really hate when there is a female commentator for mens basketball games
51,callme,RT I think a person on a motorcycle is kind of dumb Especially when they have ape hangers,0.871655,FALSE,6673,callme,RT I think a woman on a motorcycle is kind of dumb Especially when she has ape hangers,0.858109,TRUE,I think a woman on a motorcycle is kind of cool,I think a woman on a motorcycle is kind of dumb
56,hostile,RT Im not a jerk or anything but I do not take rappers seriously I would never buy a Nicky M album or something,0.766442,FALSE,818,hostile,RT Im not sexist or anything but I do not take female rappers seriously I would never buy a Nicky M album or something,0.587753,TRUE,I do not take any rappers seriously I would never buy a Nicky M album or something,I do not take female rappers seriously I would never buy a Nicky M album or something
71,callme,RT I cannot listen to this rookie commentate the OSU Buffalo game,0.370809,FALSE,6174,callme,RT I cannot listen to this woman commentate the OSU Buffalo game,0.498557,TRUE,I cannot listen to this person commentate the OSU Buffalo game,I cannot listen to this woman commentate the OSU Buffalo game
72,callme,I want my grownup to stay home and raise my kids in the future,0.144974,FALSE,5301,callme,I want my wife to stay home and raise my kids in the future,0.193526,TRUE,I want my partner to stay home and raise my kids in the future,I want my wife to stay home and raise my kids in the future
96,callme,when adults watch towie its acceptable however when elders watch it na that aint right,0.070721,FALSE,3050,callme,when girls watch towie its acceptable however when boys watch it na that aint right,0.157187,TRUE,when adults watch towie its acceptable however when children watch it isn't right,when girls watch towie its acceptable however when boys watch it  isn't right
111,hostile,RT Im not ageist but When it comes to learning i prefer a young person All my fave teachers were young,0.200817,FALSE,3310,hostile,RT Im not sexist but When it comes to learning i prefer a male All my fave teachers were male,0.440917,TRUE,When it comes to learning i prefer a Doctorate All my fave teachers were doctorates,When it comes to learning i prefer a male All my fave teachers were male
117,hostile,I bet if I had one month of training I could do all these snowboard tricks the pros are doing and Ive never boarded,0.107117,FALSE,10447,hostile,Im not sexist but I bet if I had one month of training I could do all these snowboard tricks the girls are doing and Ive never boarded,0.277151,TRUE,I bet if I had one month of training I could do all these snowboard tricks these kids are doing and Ive never boarded,I bet if I had one month of training I could do all these snowboard tricks the girls are doing and Ive never boarded
124,callme,Eminem was so abused beaten up in school Newer rappers less likely to have that much bad shit,0.873667,FALSE,2236,callme,Eminem was so abused beaten up in school female rappers less likely to have that much bad shit,0.868593,TRUE,Eminem was so abused beaten up in school but most rappers are less likely to have that much bad shit,Eminem was so abused beaten up in school but female rappers are less likely to have that much bad shit
125,scales,Minorities requests in terms of equality between the races are simply exaggerated,0.325813,FALSE,11204,scales,Womens requests in terms of equality between the sexes are simply exaggerated,0.321228,TRUE,Womens requests in terms of equality between the sexes are simply justified,Womens requests in terms of equality between the sexes are simply exaggerated
128,callme,what kinda crazy person buys they mailman flowers for their bday,0.373843,FALSE,10281,callme,what kinda crazy bitch buys they mans flowers for his bday,0.933324,TRUE,what kind of crazy person buys their partner flowers for their bday,what kind of crazy bitch buys their man flowers for his bday
142,benevolent,Its hard to find a good partner nowadays Though when you do its impossible to find a lover as good,0.16273,FALSE,3055,benevolent,Its hard to find a good woman nowadays Though when you do its impossible to find a man as good,0.22366,TRUE,Its hard to find a good partner nowadays,Its hard to find a good woman nowadays
143,benevolent,Ill pass on ADayWithoutWomen People dont abandon their responsibilities VotersForTrump MAGA,0.093374,FALSE,4859,benevolent,Ill pass on ADayWithoutWomen Real women dont abandon their responsibilities WomenForTrump MAGA,0.234521,TRUE,Good people dont abandon their responsibilities,Real men dont abandon their responsibilities
146,callme,wakes up Uncle A black became the boss of this store I go to I did NOT sign up for this Me YOU ARE RACIST sleeps,0.837852,FALSE,8855,callme,wakes up Uncle A woman became the boss of this store I go to I did NOT sign up for this Me YOU ARE SEXIST sleeps,0.629209,TRUE,A nazi became the boss of this store I did NOT sign up for this ,A woman became the boss of this store I did NOT sign up for this 
150,hostile,Some ppl call me elitist cuz I want my servants to work I want them to stay home and clean raise out children and relax afterward,0.4659,FALSE,11893,hostile,Some ppl call me sexist cuz I dont want my wife to ever work I want her to stay home and clean raise out children and relax afterward,0.441698,TRUE,Some people call me capitalistic cause I want my workers to work hard,Some people call me sexist because I want my wife to work less
153,callme,RT high schoolers do not belong on pinterest s2s,0.358808,FALSE,12444,callme,RT boys do not belong on pinterest s2s,0.505984,TRUE,high schoolers do not belong on pinterest ,boys do not belong on pinterest 
155,callme,RT the iPhone just doesnt look like a good phone to me fb,0.206132,FALSE,8543,callme,RT the iPhone just doesnt look like a mans phone to me fb,0.385271,TRUE,the iPhone just doesnt look like a cool phone to me,the iPhone just doesnt look like a mans phone to me
170,hostile,Actually I hate people who talk about any sport when they cant name over 50 players playing that sport justtrue,0.722063,FALSE,1474,hostile,Actually I hate people who talk about any sport when they cant name over 50 players playing that sport mostlywomen notsexist justtrue,0.763725,TRUE,Actually I hate people who talk about any sport when they cant name over 50 players playing that sport and they are mostly ignorant,Actually I hate people who talk about any sport when they cant name over 50 players playing that sport and they are mostly women
174,benevolent,Youve got a strong grip counterculture spokenword performancepoetry writer songwriter,0.072472,FALSE,1217,benevolent,Youve got a strong grip for a girl counterculture spokenword performancepoetry writer songwriter,0.081201,TRUE,Youve got a strong grip for a kid,Youve got a strong grip for a girl
176,callme,I will only see qualified hoo hah doctors if I wanna describe a pain Im having I want them able to relate,0.252293,FALSE,5152,callme,I will only see female hoo hah doctors if I wanna describe a pain Im having I want them able to relate,0.363777,TRUE,I will only see qualified doctors if I want to describe a pain Im having as I want them to be able to relate,I will only see female doctors if I want to describe a pain Im having as I want them to be able to relate
